0,0,0,0,1,0,0,0,0,0,0,0,3,2,6,5,5,1,0,0,0,0,5,10,18,18,4,4,1,0,0,5,13,31,44,34,18,9,0,0,0,1,7,39,78,61,25,4,1,0,1,2,14,51,73,66,32,9,0,0,0,2,16,30,55,42,18,7,2,2,0,3,7,20,31,22,7,2,0,0,0,1,0,4,11,5,4,0,0,0,0,0,0,1,3,2,2,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,0,5,3,1,1,1,0,0,0,0,1,15,12,9,5,2,0,0,1,6,15,23,39,32,17,7,0,1,1,5,22,50,71,40,19,5,1,0,1,7,17,52,87,57,23,3,0,1,2,8,22,41,58,38,17,4,2,1,1,4,10,27,34,24,10,1,0,0,0,2,3,3,8,10,4,0,0,0,0,0,1,0,2,2,1,0,0,0
0,1,0,1,1,0,0,0,0,0,0,1,4,11,4,5,2,1,0,0,0,2,8,20,18,17,8,1,1,0,4,11,15,59,48,29,8,4,0,0,1,15,41,83,74,42,6,5,0,0,2,13,30,66,70,43,14,1,1,1,1,7,22,43,54,19,6,2,0,0,0,2,3,13,14,10,2,0,0,0,0,2,3,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,3,5,2,1,2,2,0,0,0,1,2,19,18,5,6,3,0,1,0,8,21,40,55,51,18,6,1,0,2,5,33,57,69,52,16,8,2,0,1,8,25,54,77,71,32,7,2,1,1,3,18,32,54,28,11,3,0,0,0,1,4,8,19,12,8,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,0,0,0,1,6,10,11,7,5,2,0,1,1,8,11,43,51,36,17,5,1,0,3,11,32,54,83,53,33,8,1,0,0,8,31,54,78,65,29,10,0,2,1,3,18,36,49,26,17,3,0,1,0,1,7,6,25,13,8,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,6,4,3,0,0,0,1,2,5,15,27,28,15,9,2,1,0,5,10,35,63,81,49,11,6,0,0,1,12,44,87,84,58,16,3,0,1,1,12,27,60,50,36,15,2,2,0,1,5,12,19,34,17,4,1,0,0,0,1,2,4,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,9,3,3,3,0,1,0,0,2,13,16,35,25,10,3,0,0,1,9,27,45,75,68,23,10,2,0,1,5,28,55,96,77,24,4,1,1,0,10,18,38,69,47,22,2,1,1,0,0,10,18,29,31,8,3,0,0,0,0,4,1,4,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,1,0,0,0,1,10,16,15,10,6,0,0,0,0,6,19,39,60,59,22,8,2,0,3,10,31,58,100,80,27,8,2,0,0,9,16,50,72,61,30,5,0,3,0,6,13,23,37,38,12,1,0,0,0,0,3,5,7,4,2,0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,9,23,12,17,3,0,0,0,2,9,28,44,69,41,15,4,1,0,2,10,36,81,99,60,16,3,2,0,2,12,28,56,75,51,16,1,2,1,0,6,18,31,52,22,6,1,0,0,0,0,3,6,5,4,2,0,0,0,0,0,1,1,1,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,11,11,6,6,1,0,0,0,0,3,17,25,55,29,14,1,0,0,3,15,36,78,95,64,18,6,2,0,2,9,38,70,85,56,23,4,1,1,2,10,23,45,50,32,11,2,0,1,0,1,4,8,9,2,3,0,0,0,0,0,1,2,1,0,1,0,0,0
